Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-05-27,2020,5,27,Wednesday,21,2020-21,14.52,14.66,13.61,14.21,823400,14.21,-0.033333318195645556,12.95857142857143,8.4892
2020-05-28,2020,5,28,Thursday,21,2020-21,13.63,14.3,12.41,13.47,1688300,13.47,-0.052075986568024146,13.165714285714285,8.6432
2020-05-29,2020,5,29,Friday,21,2020-21,5.0,5.5,1.81,3.71,81567300,3.71,-0.7245731280920518,12.610000000000001,8.626
2020-06-01,2020,6,1,Monday,22,2020-22,4.31,4.8,4.01,4.21,24644000,4.21,0.134770888102129,12.014285714285714,8.613
2020-06-02,2020,6,2,Tuesday,22,2020-22,4.15,4.2,3.85,3.9,8849500,3.9,-0.07363419001677429,11.378571428571428,8.593
2020-06-03,2020,6,3,Wednesday,22,2020-22,3.91,4.05,3.56,3.93,6636300,3.93,0.007692300168250066,10.780000000000001,8.5674
2020-06-04,2020,6,4,Thursday,22,2020-22,3.95,4.63,3.83,4.26,8101100,4.26,0.0839695054755889,10.18642857142857,8.5432
2020-06-05,2020,6,5,Friday,22,2020-22,4.25,4.4,3.91,3.92,8965700,3.92,-0.07981223810336124,9.559285714285716,8.5112
2020-06-08,2020,6,8,Monday,23,2020-23,3.95,4.03,3.81,3.85,5282300,3.85,-0.017857186300760608,8.928571428571429,8.4674
2020-06-09,2020,6,9,Tuesday,23,2020-23,3.85,3.88,3.66,3.66,4481200,3.66,-0.04935060350865461,8.310714285714285,8.415600000000001
2020-06-10,2020,6,10,Wednesday,23,2020-23,3.72,3.85,3.6,3.62,3335300,3.62,-0.010929016211355558,7.592142857142858,8.36
2020-06-11,2020,6,11,Thursday,23,2020-23,3.25,3.54,3.15,3.4,2808000,3.4,-0.06077342462613722,6.794285714285714,8.3076
2020-06-12,2020,6,12,Friday,23,2020-23,3.55,3.56,3.32,3.41,1708700,3.41,0.0029411735831661456,6.017857142857143,8.264
2020-06-15,2020,6,15,Monday,24,2020-24,3.43,3.76,3.25,3.68,3136300,3.68,0.07917887804414536,5.230714285714286,8.2238
2020-06-16,2020,6,16,Tuesday,24,2020-24,3.82,3.85,3.52,3.78,2277700,3.78,0.02717388663546627,4.485714285714286,8.193200000000001
2020-06-17,2020,6,17,Wednesday,24,2020-24,3.79,3.82,3.57,3.64,1509500,3.64,-0.03703700199609339,3.7835714285714284,8.152000000000001
2020-06-18,2020,6,18,Thursday,24,2020-24,3.64,3.77,3.58,3.67,1534900,3.67,0.008241750144279303,3.7807142857142857,8.115400000000001
2020-06-19,2020,6,19,Friday,24,2020-24,3.72,3.83,3.46,3.53,2848500,3.53,-0.038147166755797546,3.732142857142857,8.0716
2020-06-22,2020,6,22,Monday,25,2020-25,3.53,3.55,3.34,3.46,2145800,3.46,-0.01983000957794301,3.700714285714286,8.0238
2020-06-23,2020,6,23,Tuesday,25,2020-25,3.47,3.74,3.47,3.61,1999200,3.61,0.0433525593338393,3.6778571428571425,7.978199999999999
2020-06-24,2020,6,24,Wednesday,25,2020-25,3.59,3.64,3.4,3.58,1663600,3.58,-0.008310241623697978,3.629285714285714,7.92
2020-06-25,2020,6,25,Thursday,25,2020-25,3.58,3.64,3.44,3.57,1497700,3.57,-0.0027932934850189994,3.6042857142857145,7.860600000000001
2020-06-26,2020,6,26,Friday,25,2020-25,3.53,3.58,3.43,3.5,2407900,3.5,-0.01960782480441492,3.579285714285714,7.801
2020-06-29,2020,6,29,Monday,26,2020-26,3.49,3.66,3.42,3.48,1636100,3.48,-0.004285744258335611,3.5664285714285713,7.733
2020-06-30,2020,6,30,Tuesday,26,2020-26,3.49,3.62,3.43,3.61,1574200,3.61,0.03586800681856639,3.565714285714286,7.666999999999999
2020-07-01,2020,7,1,Wednesday,26,2020-26,3.57,3.81,3.57,3.77,2032300,3.77,0.04432135470365206,3.592142857142857,7.605
2020-07-02,2020,7,2,Thursday,26,2020-26,3.79,3.81,3.48,3.56,1819700,3.56,-0.05570292817226041,3.6028571428571428,7.531000000000001
2020-07-06,2020,7,6,Monday,27,2020-27,3.57,3.65,3.49,3.57,1488600,3.57,0.002808986130333757,3.5949999999999998,7.445600000000001
2020-07-07,2020,7,7,Tuesday,27,2020-27,3.56,3.71,3.5,3.64,1352900,3.64,0.019607891588331983,3.585,7.354400000000001
2020-07-08,2020,7,8,Wednesday,27,2020-27,3.63,3.66,3.5,3.65,1146400,3.65,0.002747250048093175,3.5857142857142854,7.2526
2020-07-09,2020,7,9,Thursday,27,2020-27,3.62,3.7,3.46,3.51,1437600,3.51,-0.03972602113368362,3.5742857142857143,7.155999999999999
2020-07-10,2020,7,10,Friday,27,2020-27,3.53,3.54,3.4,3.41,1364600,3.41,-0.027104144224937565,3.565714285714286,7.0482000000000005
2020-07-13,2020,7,13,Monday,28,2020-28,3.44,3.48,3.21,3.22,1528500,3.22,-0.05571849045105648,3.5485714285714285,6.9332
2020-07-14,2020,7,14,Tuesday,28,2020-28,3.22,3.31,3.1,3.3,1195900,3.3,0.024844696582373427,3.5264285714285717,6.8114
2020-07-15,2020,7,15,Wednesday,28,2020-28,3.35,3.46,3.32,3.42,876900,3.42,0.03636367445806554,3.515,6.6848
2020-07-16,2020,7,16,Thursday,28,2020-28,3.42,3.57,3.36,3.5,999900,3.5,0.02339179003549785,3.5100000000000002,6.5642
2020-07-17,2020,7,17,Friday,28,2020-28,3.46,3.64,3.46,3.61,1322200,3.61,0.03000000544956749,3.517857142857143,6.440600000000001
2020-07-20,2020,7,20,Monday,29,2020-29,3.57,3.68,3.51,3.68,1058500,3.68,0.020804451397198997,3.532142857142857,6.302800000000001
2020-07-21,2020,7,21,Tuesday,29,2020-29,3.68,3.72,3.57,3.64,1332500,3.64,-0.010869554654186486,3.5342857142857143,6.1458
2020-07-22,2020,7,22,Wednesday,29,2020-29,3.63,3.65,3.45,3.61,994800,3.61,-0.00824181564388704,3.5228571428571427,5.9670000000000005
2020-07-23,2020,7,23,Thursday,29,2020-29,3.6,3.71,3.52,3.55,1016600,3.55,-0.016620483247395845,3.5221428571428572,5.781999999999999
2020-07-24,2020,7,24,Friday,29,2020-29,3.56,3.68,3.44,3.56,1577600,3.56,0.0028168987598808926,3.5214285714285714,5.606999999999999
2020-07-27,2020,7,27,Monday,30,2020-30,3.56,3.64,3.47,3.63,792500,3.63,0.019662969883848636,3.5207142857142855,5.4282
2020-07-28,2020,7,28,Tuesday,30,2020-30,3.57,3.64,3.51,3.52,674800,3.52,-0.030303066128510636,3.5114285714285716,5.2446
2020-07-29,2020,7,29,Wednesday,30,2020-30,3.52,3.56,3.47,3.52,651300,3.52,0.0,3.5121428571428575,5.0614
2020-07-30,2020,7,30,Thursday,30,2020-30,3.51,3.65,3.48,3.62,1205700,3.62,0.028409063970008086,3.527142857142857,4.8876
2020-07-31,2020,7,31,Friday,30,2020-30,3.63,3.64,3.48,3.48,997400,3.48,-0.03729281622405556,3.545714285714286,4.6836
2020-08-03,2020,8,3,Monday,31,2020-31,3.72,3.76,3.48,3.69,3613900,3.69,0.0588235777031485,3.573571428571429,4.466
2020-08-04,2020,8,4,Tuesday,31,2020-31,3.65,3.9,3.63,3.76,1999500,3.76,0.018970171316345708,3.5978571428571433,4.2556
